"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","TRANSACTOR_F","CMHC_F","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17124,"1404","0506",,,,,LOC,PD Band 4,"4","4",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17319,"1404","0599",0.00093994,0.00317876,"0.0940%","0.3179%",No Exposure Class,PD Band 4,"4","4",,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17074,"1405","0500",,,,,Total Retail,PD Band 5,"5","5",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17652,"1405","0502",0.00336865,0.00717334,"0.3368%","0.7173%",Mortgage,PD Band 5,"5","5",,,"202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17550,"1405","0503",0.11878271,0.99999999,"11.8782%","99.9999%",HELOC,PD Band 5,"5","5",,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17219,"1405","0503",0.03706662,0.10447017,"3.7067%","10.4470%",HELOC,PD Band 5,"5","5",,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17552,"1405","0504",0.00464349,0.00616273,"0.4643%","0.6162%",Total QRRE,PD Band 5,"5","5",T,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17142,"1405","0510",,,,,Residential Mortgage - CMHC Insured,PD Band 5,"5","5",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17557,"1406","0504",0.00797503,0.01519680,"0.7975%","1.5196%",Total QRRE,PD Band 6,"6","6",N,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17330,"1406","0504",0.00617023,0.00689023,"0.6170%","0.6890%",Total QRRE,PD Band 6,"6","6",T,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17439,"1406","0504",0.00507837,0.00767068,"0.5078%","0.7670%",Total QRRE,PD Band 6,"6","6",T,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17109,"1406","0505",,,,,Credit Card,PD Band 6,"6","6",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17126,"1406","0506",,,,,LOC,PD Band 6,"6","6",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17041,"1406","0507",0.00689800,0.01309800,"0.6898%","1.3098%",Other Retail,PD Band 6,"6","6",,,"200010","202301",N,2014-10-02-10.56.09.000000,2023-03-01-11.29.00.000000
