"ORG_UNIT_HIERARCHY_ID","EFF_FROM_TMSTMP","TRNST_NUM","RGNL_OFFC_TRNST_NUM","DSTRCT_OFFC_TRNST_NUM","RGNL_OFFC_OU_ID","DSTRCT_OFFC_OU_ID","EFF_TO_TMSTMP","CRNT_F","RGNL_OFFC_CD","DSTRCT_OFFC_CD","TRNST_NM","RGNL_OFFC_DESC","DSTRCT_OFFC_DESC","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17580151,2003-11-07-00.00.00.000000,"10694","12153","12393",17577393,17577650,9999-12-31-00.00.00.000000,Y,"2    ","07                            ",SAINT JOHN DATA CONTROL & A.C.S. ACCTG.           ,ATLANTIC REGION                           ,ATLANTIC DIRECT REPORTING UNITS           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575963,2006-12-11-00.00.00.000000,"32532","32482","04218",17580325,17578448,9999-12-31-00.00.00.000000,Y,"5    ","29                            ","THICKSON & DRYDEN, WHITBY, ONTARIO                ",TORONTO REGION                            ,GTA EAST                                  ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575595,2011-05-11-00.00.00.000000,"00331",,"41061",-1,17575670,9999-12-31-00.00.00.000000,Y,"0    ","64                            ","PORT DANIEL STATION, QUE.                         ",NOT APPLICABLE                            ,"PRIVATE BANKING UNITS, DFCS & OTHERS      ",2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575772,2006-10-13-00.00.00.000000,"83832","68502","44198",17577462,17578455,9999-12-31-00.00.00.000000,Y,"4    ","24                            ","ANCASTER, ONTARIO                                 ",ONTARIO REGION                            ,ONTARIO CENTRAL SOUTH                     ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17580306,2003-11-07-00.00.00.000000,"31070","00810","21980",17580086,17577457,9999-12-31-00.00.00.000000,Y,"7    ","59                            ",VANCOUVER DATA CENTRE SYSTEMS IMPLEMENT.          ,BRITISH COLUMBIA REGION                   ,B.C. DIRECT REPORTING UNITS               ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17580705,2003-11-07-00.00.00.000000,"81141","00661","80861",17580083,17580700,9999-12-31-00.00.00.000000,Y,"3    ","08                            ",MONTREAL BRANCH U.S.DOLLAR ACCOUNTS               ,QUEBEC & EASTERN ONTARIO                  ,MONTREAL & EAST                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575553,2006-12-11-00.00.00.000000,"22822","32482","01016",17580325,17580091,9999-12-31-00.00.00.000000,Y,"5    ","35                            ",ETOBICOKE COMMERCIAL BANKING CENTRE               ,TORONTO REGION                            ,TORONTO WEST                              ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577283,2008-04-14-00.00.00.000000,"61549","20719","62059",17580231,17580566,9999-12-31-00.00.00.000000,Y,"6    ","50                            ","COLD LAKE, ALBERTA                                ",PRAIRIE REGION                            ,NORTHERN ALBERTA                          ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576477,2010-03-12-00.00.00.000000,"70334","12153","81034",17577393,17578464,9999-12-31-00.00.00.000000,Y,"2    ","04                            ",SACKVILLE                                         ,ATLANTIC REGION                           ,EAST NEW BRUNSWICK/P.E.I.                 ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17578590,2004-10-08-00.00.00.000000,"22749","20719","32359",17580231,17577716,9999-12-31-00.00.00.000000,Y,"6    ","52                            ",ALBERTA SOUTH CENTRAL ABM PROCESSING CTR          ,PRAIRIE REGION                            ,PRAIRIE DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
