"PLN_PRD_CD","ACCT_TP_CD","EFF_FROM_YR_MTH","RGSTRD_F","EFF_TO_YR_MTH","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP","CRNT_F"
NRSFT     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REISB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REISB     ,DHS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REISB     ,MFS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
TFSSB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
TFSSB     ,MFS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
TFSSB     ,DHS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTB     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
