"DLVY_KEY","TXN_GRP_KEY","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
64700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
74400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
59900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
71300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
60000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
73500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
56500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
34300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
24700,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
25800,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
32700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
15300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
54700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
39900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
53700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
65100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
48900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
62700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
15400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
60800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
65500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
70500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
71000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
34500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
17300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
23300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
48400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
55300,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
41600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
56600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
61100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
29300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
51100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
30400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
21200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
54400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
3100,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
28400,N,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
47000,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
72800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
64400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
22900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
57200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
51800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
55500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
24300,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
6700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
8600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
36300,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
75000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
44700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
66500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
41400,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
6900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
57900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
66000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
48200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
47200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
48600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
57100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
36400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
30100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
2500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
64200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
1700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
