"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17385,"1410","0504",0.06240000,0.09900000,"6.24%","9.90%",Total QRRE,PD Band 10,"10","10","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17126,"1410","0505",,,,,Credit Card,PD Band 10,"10","10","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17508,"1410","0507",0.04340000,0.07760000,"4.34%","7.76%",Other Retail,PD Band 10,"10","10","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17584,"1410","0507",0.01190000,0.01200000,"1.19%","1.20%",Other Retail,PD Band 10,"10","10","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17135,"1411","0502",0.11920000,0.25580000,"11.9200%","25.5800%",Mortgage,PD Band 11,"11","11","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17392,"1411","0599",0.02380000,0.03740000,"2.38%","3.74%",No Exposure Class,PD Band 11,"11","11","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17144,"1411","0599",0.04440000,0.05700000,"4.4400%","5.7000%",No Exposure Class,PD Band 11,"11","11","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17394,"1412","0503",0.99860000,0.99860000,"99.86%","99.86%",HELOC,PD Band 12,"12","12","202401","999912",Y,2024-01-29-13.42.00.000000,2024-01-29-13.42.00.000000
17589,"1412","0504",0.06020000,0.07670000,"6.02%","7.67%",Total QRRE,PD Band 12,"12","12","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17591,"1412","0599",0.01570000,0.02240000,"1.57%","2.24%",No Exposure Class,PD Band 12,"12","12","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17594,"1413","0599",0.02250000,0.02660000,"2.25%","2.66%",No Exposure Class,PD Band 13,"13","13","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17406,"1414","0507",0.18040000,0.22230000,"18.04%","22.23%",Other Retail,PD Band 14,"14","14","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17180,"1414","0599",0.10060000,0.12210000,"10.0600%","12.2100%",No Exposure Class,PD Band 14,"14","14","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17183,"1415","0502",0.99890000,0.99890000,"99.8900%","99.8900%",Mortgage,PD Band 15,"15","15","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
