"GENL_LEDGER_ACCT_NUM","TRNST_NUM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","GENL_LEDGER_DESC","RCON_RLP_CD","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
"1904760   ","51003","200001","999912",ACCRD INT-SPL,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904760   ","80739","200001","999912",ACCRD INT-SPL,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904760   ","31492","200001","999912",ACCRD INT-SPL,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1615769   ","50203","201411","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2014-12-12-14.38.59.000000,2014-12-12-14.38.59.000000
"1615769   ","51326","201503","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-04-16-15.28.10.000000,2015-04-16-15.28.10.000000
"1615769   ","85092","201504","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-05-08-17.46.19.000000,2015-05-08-17.46.19.000000
"1615769   ","40352","201412","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-01-15-16.35.53.000000,2015-01-15-16.35.53.000000
"1559362   ","60582","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1559362   ","70227","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1904264   ","50229","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","90399","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","41582","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","80572","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","24182","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","80358","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","91272","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","91892","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1615769   ","32219","201412","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-01-15-16.35.53.000000,2015-01-15-16.35.53.000000
"1615769   ","90316","201504","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-05-08-17.46.19.000000,2015-05-08-17.46.19.000000
"1557963   ","70094","201408","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-08-01.17.26.000000,2014-11-08-01.17.26.000000
"1557963   ","17996","201408","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-08-01.17.26.000000,2014-11-08-01.17.26.000000
"1557963   ","40832","201412","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-01-15-16.35.53.000000,2015-01-15-16.35.53.000000
"1557963   ","00893","201407","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1557963   ","30759","201411","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-12-12-14.38.59.000000,2014-12-12-14.38.59.000000
"1557963   ","60178","201407","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1557963   ","80127","201407","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1557963   ","30171","201407","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1557963   ","95612","201409","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-08-01.57.08.000000,2014-11-08-01.57.08.000000
"1557963   ","90050","201407","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1557963   ","87122","201412","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-01-15-16.35.53.000000,2015-01-15-16.35.53.000000
