"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MAX_VAL","PD_MIN_VAL","FRS_CD","PD_MIN_VAL_DESC","EFF_FROM_YR_MTH","PD_MAX_VAL_DESC","EFF_TO_YR_MTH","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","PD_BAND","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17085,"1499","0500",,,,,"200010",,"999912",Total Retail,No PD Band,,Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17086,"1400","0501",,,,,"200010",,"999912",Mortgage and HELOC,Total PD Band,,Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17087,"1401","0501",,,"1         ",,"200010",,"999912",Mortgage and HELOC,PD Band 1,"1         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17088,"1402","0501",,,"2         ",,"200010",,"999912",Mortgage and HELOC,PD Band 2,"2         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17089,"1403","0501",,,"3         ",,"200010",,"999912",Mortgage and HELOC,PD Band 3,"3         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17090,"1404","0501",,,"4         ",,"200010",,"999912",Mortgage and HELOC,PD Band 4,"4         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17091,"1405","0501",,,"5         ",,"200010",,"999912",Mortgage and HELOC,PD Band 5,"5         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17092,"1406","0501",,,"6         ",,"200010",,"999912",Mortgage and HELOC,PD Band 6,"6         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17093,"1407","0501",,,"7         ",,"200010",,"999912",Mortgage and HELOC,PD Band 7,"7         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17061,"1409","0504",0.03659500,0.01863300,"9         ","1.8633%","200010","3.6595%","999912",Total QRRE,PD Band 9,"9         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17062,"1410","0504",0.08019600,0.03659600,"10        ","3.6596%","200010","8.0196%","999912",Total QRRE,PD Band 10,"10        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17063,"1411","0504",0.16630400,0.08019700,"11        ","8.0197%","200010","16.6304%","999912",Total QRRE,PD Band 11,"11        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
